CpG	Feature	P.Value	adj.P.Val	B	Distance	NearestGeneSymbol
cg15986413	PP_CGI	8.14E-05	0.047471	1.294665	243	ECEL1
cg21272095	PP_NC	8.14E-05	0.047471	1.29497	1053	ITLN2
cg27565277	GB_NC	8.13E-05	0.047471	1.29636	336262	XYLT1
cg01465177	DP_NC	8.17E-05	0.047572	1.291618	4385	FLJ46066
cg18954479	GB_NC	8.24E-05	0.047913	1.284184	231053	CDKAL1
cg09625066	NA	8.27E-05	0.048003	1.281332	202	RGN
cg06609475	PP_CGI	8.31E-05	0.048171	1.276833	352	NDUFS6
cg15712577	GB_NC	8.32E-05	0.048171	1.275884	75482	RIMBP2
cg25298754	PP_NC	8.37E-05	0.048362	1.270867	78	ZBED2
cg26908328	PP_SHO	8.38E-05	0.048362	1.270046	638	SERINC5
cg26878709	GB_SHO	8.44E-05	0.048644	1.263775	1299	TMEM136
cg01015663	GB_NC	8.45E-05	0.048668	1.262158	9165	TCEA3
cg00442389	GB_SHE	8.48E-05	0.048731	1.259146	616	GPSM3
cg09881545	IG_CGI	8.49E-05	0.048731	1.258654	26298	ARL8B
cg23924887	PP_SHO	8.50E-05	0.048764	1.256873	919	ATP8B2
cg01142735	IG_NC	8.56E-05	0.048869	1.25144	55678	AZIN1
cg02402368	PP_SHE	8.55E-05	0.048869	1.252346	56	ANGPT2
cg19654061	PP_SHO	8.55E-05	0.048869	1.252182	49	ALPP
cg13645530	IG_NC	8.60E-05	0.049064	1.246784	41956	MED13L
cg02763617	IG_SHO	8.66E-05	0.049331	1.240872	266440	CWC27
cg22242842	IG_NC	8.68E-05	0.049393	1.238608	31080	KCMF1
cg04815334	GB_NC	8.76E-05	0.049486	1.231453	19954	NADSYN1
cg05661533	GB_CGI	8.75E-05	0.049486	1.231563	27602	LPCAT1
cg12405265	GB_NC	8.76E-05	0.049486	1.231095	6430	GRHL3
cg14973055	GB_NC	8.73E-05	0.049486	1.233741	4719	DNAI2
cg19375810	GB_NC	8.76E-05	0.049486	1.231235	13859	CCDC13-AS1
cg22112587	IG_NC	8.79E-05	0.049569	1.228463	270672	MAP3K1
cg23390619	GB_CGI	8.84E-05	0.049817	1.22294	14021	ARHGAP22
