Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
KCNJ11	BIR, Kir6.2	ENSG00000187486	Potassium voltage-gated channel subfamily J member 11	11	17385859-17389331	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA048891	Approved				Renal cancer:1.56e-4 (favourable)	Mixed	Tissue enhanced		skeletal muscle: 32.7	cerebral cortex: 10.2	Cell line enhanced		HEK 293: 12.0;MCF7: 8.2;SCLC-21H: 10.3
KCNJ12	hIRK1, IRK2, KCNJN1, Kir2.2, Kir2.2v	ENSG00000184185	Potassium voltage-gated channel subfamily J member 12	17	21376197-21419872	FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	HPA027021	Approved		Uncertain	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Endometrial cancer:7.84e-5 (unfavourable)	Mixed	Group enriched	5	parathyroid gland: 19.2;skeletal muscle: 23.1	heart muscle: 3.9	Cell line enhanced		HeLa: 2.6;PC-3: 3.9;SCLC-21H: 5.6;SiHa: 2.6;U-2197: 3.9
KCNJ8	Kir6.1	ENSG00000121361	Potassium voltage-gated channel subfamily J member 8	12	21764955-21775581	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA031066	Uncertain				Renal cancer:1.62e-6 (unfavourable), Colorectal cancer:9.29e-4 (unfavourable)	Expressed in all	Mixed			seminal vesicle: 32.0	Cell line enhanced		CACO-2: 71.9;SH-SY5Y: 31.1
KCNK2	K2p2.1, TREK-1	ENSG00000082482	Potassium two pore domain channel subfamily K member 2	1	215005775-215237093	FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level							Mixed	Tissue enhanced		adrenal gland: 75.2	thyroid gland: 17.0	Cell line enhanced		ASC TERT1: 58.1;fHDF/TERT166: 59.9;T-47d: 108.4;U-2197: 38.1
KCNK3	K2p3.1, TASK, TASK-1	ENSG00000171303	Potassium two pore domain channel subfamily K member 3	2	26692690-26733420	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level						Renal cancer:2.37e-7 (unfavourable)	Tissue enhanced	Tissue enhanced		adrenal gland: 111.8;placenta: 35.8	lung: 19.9	Group enriched	6	EFO-21: 10.3;SCLC-21H: 30.6
KCNK9	K2p9.1, TASK-3, TASK3	ENSG00000169427	Potassium two pore domain channel subfamily K member 9	8	139600838-139703056	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level							Mixed	Group enriched	7	adrenal gland: 4.7;cerebral cortex: 4.8	cervix, uterine: 0.7	Cell line enhanced		PC-3: 2.0;SCLC-21H: 1.1
KCNMA1	KCa1.1, mSLO1, SLO	ENSG00000156113	Potassium calcium-activated channel subfamily M alpha 1	10	76869601-77638369	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	HPA054648	Approved					Mixed	Tissue enhanced		smooth muscle: 137.0	endometrium: 109.5	Cell line enhanced		PC-3: 148.0;U-138 MG: 111.0;U-87 MG: 107.5
KCNN4	hIKCa1, hKCa4, hSK4, IK, KCa3.1	ENSG00000104783	Potassium calcium-activated channel subfamily N member 4	19	43766533-43781257	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA053841, HPA059622	Approved				Renal cancer:1.05e-14 (unfavourable), Urothelial cancer:1.75e-4 (favourable), Glioma:3.77e-4 (unfavourable), Pancreatic cancer:4.56e-4 (unfavourable)	Expressed in all	Tissue enhanced		salivary gland: 73.7	stomach: 36.6	Cell line enhanced		CAPAN-2: 93.3;WM-115: 264.9
KCNQ1	JLNS1, KCNA8, KCNA9, Kv7.1, KVLQT1, LQT, LQT1	ENSG00000053918	Potassium voltage-gated channel subfamily Q member 1	11	2444684-2849109	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	CAB018656, HPA048553	Enhanced				Stomach cancer:9.85e-4 (favourable)	Expressed in all	Tissue enhanced		adrenal gland: 133.6;thyroid gland: 102.7	seminal vesicle: 60.6	Cell line enhanced		HMC-1: 25.7;RPMI-8226: 14.2;U-266/70: 8.9;U-937: 8.8
KCNQ2	BFNC, EBN, EBN1, ENB1, HNSPC, KCNA11, Kv7.2	ENSG00000075043	Potassium voltage-gated channel subfamily Q member 2	20	63400210-63472677	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA016642, HPA057112	Enhanced		Approved	Endoplasmic reticulum		Tissue enriched	Tissue enriched	7	cerebral cortex: 57.2	testis: 8.2	Cell line enhanced		AN3-CA: 32.4;SCLC-21H: 79.6;SH-SY5Y: 126.1
KCNQ3	EBN2, Kv7.3	ENSG00000184156	Potassium voltage-gated channel subfamily Q member 3	8	132120858-132481019	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level							Mixed	Tissue enriched	14	cerebral cortex: 26.7	adrenal gland: 1.9	Cell line enhanced		hTERT-HME1: 5.1;U-2 OS: 4.5;U-87 MG: 3.5
KDR	CD309, FLK1, VEGFR, VEGFR2	ENSG00000128052	Kinase insert domain receptor	4	55078477-55125589	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins	Evidence at protein level	CAB004028	Enhanced		Supported	Plasma membrane	Renal cancer:7.26e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 119.2	thyroid gland: 54.7	Group enriched	9	HUVEC TERT2: 178.6;TIME: 148.0
KEAP1	INrf2, KIAA0132, KLHL19, MGC10630, MGC1114, MGC20887, MGC4407, MGC9454	ENSG00000079999	Kelch like ECH associated protein 1	19	10486120-10503741	Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA005558, CAB025337	Approved		Supported	Nucleoplasm<br>Microtubule organizing center<br>Cytosol	Cervical cancer:3.28e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 49.4	Expressed in all		
KIT	C-Kit, CD117, PBT, SCFR	ENSG00000157404	KIT proto-oncogene receptor tyrosine kinase	4	54657918-54740715	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins	Evidence at protein level	CAB003288, HPA004471, CAB068253, CAB072867, HPA073252	Enhanced	Supported	Supported	Plasma membrane	Renal cancer:5.63e-4 (favourable)	Mixed	Tissue enhanced		breast: 133.6	thyroid gland: 78.7	Group enriched	14	HEL: 220.1;HMC-1: 434.1
KLKB1	KLK3	ENSG00000164344	Kallikrein B1	4	186208979-186258471	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Tissue enriched	Tissue enriched	45	liver: 155.0	gallbladder,kidney: 3.4	Cell line enhanced		NTERA-2: 2.9;SCLC-21H: 2.3
LCK		ENSG00000182866	LCK proto-oncogene, Src family tyrosine kinase	1	32251239-32286165	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA003494, CAB003816	Enhanced		Approved	Golgi apparatus	Endometrial cancer:2.96e-6 (favourable), Renal cancer:2.60e-5 (unfavourable), Melanoma:5.65e-5 (favourable), Head and neck cancer:2.91e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 125.9;tonsil: 72.4	appendix: 66.3	Group enriched	7	MOLT-4: 429.5;U-698: 207.6
LEPR	CD295, OBR	ENSG00000116678	Leptin receptor	1	65420652-65641559	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA030899	Approved		Approved	Vesicles		Tissue enriched	Mixed			liver: 67.9	Cell line enhanced		K-562: 102.4;RPTEC TERT1: 39.6
LHCGR	HHG, LCGR, LGR2, LHR, ULG5	ENSG00000138039	Luteinizing hormone/choriogonadotropin receptor	2	48686775-48755730	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009814	Uncertain					Not detected	Tissue enhanced		ovary: 1.6;testis: 4.3	adipose tissue: 1.3	Not detected		
LIPF	HGL, HLAL	ENSG00000182333	Lipase F, gastric type	10	88664441-88678814	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA045930	Enhanced					Tissue enriched	Tissue enriched	86	stomach: 22415.5	duodenum: 259.5	Cell line enhanced		HMC-1: 3.6;MOLT-4: 2.7;NTERA-2: 3.5;THP-1: 4.5;U-2 OS: 2.4;U-266/70: 2.4
LPL	LIPD	ENSG00000175445	Lipoprotein lipase	8	19901717-19967258	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA048749			Supported	Vesicles	Urothelial cancer:6.07e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 976.8	heart muscle: 239.2	Cell line enriched	7	AF22: 363.8
M6PR	CD-M6PR, CD-MPR	ENSG00000003056	Mannose-6-phosphate receptor, cation dependent	12	8940363-8949955	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB034464, HPA040445	Approved				Liver cancer:3.89e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 175.3	Expressed in all		
MAOA		ENSG00000189221	Monoamine oxidase A	X	43654907-43746824	Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB009437, HPA054807, HPA059299	Enhanced		Enhanced	Mitochondria		Expressed in all	Mixed			small intestine: 248.3	Cell line enhanced		ASC diff: 108.7;HHSteC: 249.1;hTCEpi: 61.9;RT4: 102.5
MAOB		ENSG00000069535	Monoamine oxidase B	X	43766611-43882447	Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA002328, CAB037200	Enhanced		Approved	Nucleoli<br>Mitochondria		Expressed in all	Mixed			seminal vesicle: 215.4	Group enriched	9	Hep G2: 28.1;SiHa: 82.8
MAP1A	MAP1L	ENSG00000166963	Microtubule associated protein 1A	15	43510958-43531620	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA039063, HPA039064, HPA066488	Enhanced		Approved	Cytosol	Thyroid cancer:1.09e-5 (unfavourable), Urothelial cancer:1.66e-5 (unfavourable), Renal cancer:6.59e-5 (unfavourable)	Tissue enhanced	Tissue enriched	9	cerebral cortex: 165.6	smooth muscle: 18.9	Cell line enhanced		fHDF/TERT166: 72.9;U-87 MG: 119.0
MAP2	MAP2A, MAP2B, MAP2C	ENSG00000078018	Microtubule associated protein 2	2	209424058-209734118	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB001984, HPA008273, HPA012828	Enhanced	Supported	Supported	Nucleoli<br>Cytosol	Endometrial cancer:1.98e-6 (unfavourable)	Tissue enhanced	Tissue enriched	11	cerebral cortex: 296.5	thyroid gland: 27.9	Cell line enhanced		AF22: 293.3;NTERA-2: 106.5;SCLC-21H: 174.9;SH-SY5Y: 88.2
MAP2K1	MAPKK1, MEK1, PRKMK1	ENSG00000169032	Mitogen-activated protein kinase kinase 1	15	66386817-66492312	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB003834, HPA026430	Approved		Enhanced	Plasma membrane<br>Cytosol	Glioma:2.68e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 144.4	Expressed in all		
MAP2K2	MEK2, PRKMK2	ENSG00000126934	Mitogen-activated protein kinase kinase 2	19	4090321-4124129	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB003835, HPA051993	Supported		Supported	Cytosol	Stomach cancer:5.43e-5 (favourable), Cervical cancer:3.72e-4 (favourable), Head and neck cancer:7.98e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 135.0	Expressed in all		
MAP4		ENSG00000047849	Microtubule associated protein 4	3	47850690-48089272	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA038149, HPA038150	Enhanced		Supported	Plasma membrane<br>Microtubules<br>Cytosol	Liver cancer:1.82e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 241.9	Expressed in all		
MAPK1	ERK, ERK2, MAPK2, p41mapk, PRKM1, PRKM2	ENSG00000100030	Mitogen-activated protein kinase 1	22	21754500-21867680	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA003995, CAB004229, HPA005700, HPA030069	Approved				Liver cancer:4.95e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 132.4	Expressed in all		
MAPK11	p38-2, p38Beta, PRKM11, SAPK2	ENSG00000185386	Mitogen-activated protein kinase 11	22	50263713-50270767	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB012961, HPA045069	Approved		Approved	Mitochondria	Renal cancer:6.02e-6 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 27.7	Mixed		
MAPK3	ERK1, p44erk1, p44mapk, PRKM3	ENSG00000102882	Mitogen-activated protein kinase 3	16	30114105-30123506	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB002683, HPA003995, HPA005700, HPA030069	Approved		Approved	Nucleoplasm	Liver cancer:1.11e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 133.7	Expressed in all		
MAPT	DDPAC, FLJ31424, FTDP-17, MAPTL, MGC138549, MSTD, MTBT1, MTBT2, PPND, PPP1R103, tau	ENSG00000186868	Microtubule associated protein tau	17	45894382-46028334	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB000151, HPA048895, HPA069524, HPA069570, CAB072344	Enhanced		Supported	Nuclear speckles<br>Plasma membrane		Group enriched	Tissue enriched	8	cerebral cortex: 116.2	skeletal muscle: 13.7	Cell line enhanced		HDLM-2: 37.4;SCLC-21H: 16.3;T-47d: 16.5
MC2R	ACTHR	ENSG00000185231	Melanocortin 2 receptor	18	13882044-13915707	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level							Not detected	Tissue enriched	23	adrenal gland: 50.6	epididymis: 2.1	Not detected		
MET	DFNB97, HGFR, RCCP2	ENSG00000105976	MET proto-oncogene, receptor tyrosine kinase	7	116672390-116798386	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB005282, CAB018577, HPA055607	Uncertain		Supported	Plasma membrane<br>Cytosol	Pancreatic cancer:1.21e-7 (unfavourable), Head and neck cancer:6.75e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 39.0	Mixed		
METAP2	MAP2, MNPEP, p67	ENSG00000111142	Methionyl aminopeptidase 2	12	95473520-95515839	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB013025, HPA019095	Enhanced		Supported	Plasma membrane<br>Cytosol	Liver cancer:4.51e-6 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 142.4	Expressed in all		
MGAM	MGA	ENSG00000257335	Maltase-glucoamylase	7	141907813-142106747	Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA002270	Enhanced				Renal cancer:6.16e-5 (favourable)	Tissue enriched	Tissue enhanced		duodenum: 59.4;small intestine: 97.2	epididymis: 31.1	Cell line enhanced		A549: 1.6;BJ hTERT+: 1.3;HL-60: 2.2;U-937: 3.4
MME	CALLA, CD10, NEP	ENSG00000196549	Membrane metalloendopeptidase	3	155024124-155183729	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000013, HPA052583, HPA056072	Enhanced					Mixed	Tissue enhanced		duodenum: 428.2;kidney: 384.2;small intestine: 401.5	prostate: 162.5	Cell line enhanced		ASC TERT1: 595.9;BJ hTERT+: 1084.7;HSkMC: 604.7
MMP1	CLG	ENSG00000196611	Matrix metallopeptidase 1	11	102789920-102798160	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA004920			Approved	Vesicles	Renal cancer:9.86e-10 (unfavourable), Liver cancer:4.22e-6 (unfavourable), Cervical cancer:4.66e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		appendix: 39.2;gallbladder: 126.4	urinary bladder: 29.1	Cell line enhanced		BJ hTERT+: 921.1;HBF TERT88: 1061.5;HUVEC TERT2: 2464.5;WM-115: 1436.5
MMP10	STMY2	ENSG00000166670	Matrix metallopeptidase 10	11	102770503-102780628	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	CAB002159	Uncertain		Approved	Plasma membrane<br>Cytosol	Urothelial cancer:7.12e-4 (favourable)	Tissue enhanced	Tissue enriched	40	endometrium: 443.1	appendix: 11.1	Cell line enhanced		BJ: 10.0;HUVEC TERT2: 12.6;SCLC-21H: 5.6
MMP11	STMY3	ENSG00000099953	Matrix metallopeptidase 11	22	23768226-23784316	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	CAB002593, HPA068864	Approved				Renal cancer:2.62e-4 (unfavourable)	Expressed in all	Group enriched	9	cervix, uterine: 31.6;endometrium: 123.1;placenta: 28.0	smooth muscle: 6.9	Cell line enhanced		AN3-CA: 17.4;REH: 7.4
MMP12	HME	ENSG00000262406	Matrix metallopeptidase 12	11	102862736-102875034	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level						Liver cancer:1.42e-4 (unfavourable)	Expressed in all	Tissue enhanced		appendix: 54.6;urinary bladder: 28.7	tonsil: 17.3	Group enriched	11	BJ: 2.7;fHDF/TERT166: 8.5;hTEC/SVTERT24-B: 6.1
MMP13	CLG3	ENSG00000137745	Matrix metallopeptidase 13	11	102942995-102955734	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level							Tissue enhanced	Tissue enhanced		lung: 1.5;urinary bladder: 1.3	appendix: 0.3	Cell line enhanced		HaCaT: 15.8;PC-3: 6.2
MMP14	MT1-MMP	ENSG00000157227	Matrix metallopeptidase 14	14	22836557-22849027	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009918, HPA051432	Approved		Approved	Intermediate filaments<br>Cytosol	Renal cancer:1.34e-4 (unfavourable), Ovarian cancer:9.48e-4 (unfavourable)	Expressed in all	Mixed			endometrium: 236.6	Cell line enhanced		HHSteC: 664.7
MMP15	MT2-MMP, MTMMP2, SMCP-2	ENSG00000102996	Matrix metallopeptidase 15	16	58025566-58046901	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB002611, HPA040390	Uncertain		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:8.54e-8 (favourable), Urothelial cancer:3.08e-4 (favourable)	Expressed in all	Tissue enhanced		thyroid gland: 70.1	placenta: 39.3	Cell line enhanced		BEWO: 86.0;WM-115: 73.7
MMP16	C8orf57, DKFZp761D112, MT3-MMP	ENSG00000156103	Matrix metallopeptidase 16	8	88032009-88328025	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA023693	Uncertain		Approved	Vesicles<br>Cytosol		Tissue enhanced	Tissue enhanced		cerebral cortex: 9.6	gallbladder: 4.2	Cell line enhanced		AN3-CA: 27.2;SH-SY5Y: 17.2;WM-115: 28.4
MMP17	MT4-MMP	ENSG00000198598	Matrix metallopeptidase 17	12	131828393-131851783	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Tissue enriched	Tissue enhanced		cerebral cortex: 24.0	skin: 8.2	Group enriched	5	REH: 53.0;SK-MEL-30: 109.1;WM-115: 201.0
MMP19	MMP18, RASI-1	ENSG00000123342	Matrix metallopeptidase 19	12	55835433-55842966	Disease related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA070804			Approved	Endoplasmic reticulum<br>Vesicles	Renal cancer:8.56e-9 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 64.2;gallbladder: 97.3	placenta: 28.2	Cell line enriched	7	BEWO: 141.1
MMP2	CLG4, CLG4A, TBE-1	ENSG00000087245	Matrix metallopeptidase 2	16	55389700-55506691	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001939, CAB002788	Approved		Uncertain	Vesicles<br>Cytosol		Expressed in all	Tissue enhanced		gallbladder: 1682.1	urinary bladder: 910.7	Cell line enhanced		ASC diff: 3859.6;U-138 MG: 1525.4;U-87 MG: 1772.5
MMP20		ENSG00000137674	Matrix metallopeptidase 20	11	102576835-102625332	Disease related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	6	testis: 1.1	appendix,breast,kidney,tonsil: 0.1	Not detected		
MMP21		ENSG00000154485	Matrix metallopeptidase 21	10	125766453-125775821	Disease related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	27	epididymis: 59.2	ovary: 2.1	Not detected		
MMP23B	MIFR, MIFR-1, MMP22	ENSG00000189409	Matrix metallopeptidase 23B	1	1632095-1635263	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level							Tissue enhanced	Mixed			gallbladder,placenta: 4.1	Cell line enhanced		HHSteC: 3.5;NTERA-2: 1.8;U-266/70: 2.5
MMP24	MT5-MMP	ENSG00000125966	Matrix metallopeptidase 24	20	35226654-35277000	Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at transcript level	HPA049280			Approved	Nucleoli<br>Plasma membrane	Renal cancer:8.17e-11 (favourable)	Mixed	Tissue enhanced		cerebral cortex: 10.6	lung: 7.0	Cell line enhanced		A549: 32.8;CACO-2: 46.1;RPTEC TERT1: 18.5;U-2 OS: 18.9
MMP25	MMP20, MMPL1, MT6-MMP	ENSG00000008516	Matrix metallopeptidase 25	16	3046681-3060726	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB025177	Uncertain				Head and neck cancer:1.09e-5 (favourable)	Tissue enhanced	Tissue enhanced		appendix: 23.3;bone marrow: 24.7;spleen: 20.7	adipose tissue: 6.4	Cell line enriched	11	HMC-1: 95.7
MMP26	endometase, MGC126590, MGC126592	ENSG00000167346	Matrix metallopeptidase 26	11	4704927-4992429	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at transcript level							Group enriched	Tissue enriched	63	endometrium: 23.9	prostate,testis: 0.3	Not detected		
MMP27		ENSG00000137675	Matrix metallopeptidase 27	11	102691487-102705806	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA069097	Approved					Not detected	Group enriched	5	breast: 6.0;skin: 2.8	bone marrow: 0.8	Not detected		
MMP28	EPILYSIN, MM28, MMP-25, MMP-28	ENSG00000271447	Matrix metallopeptidase 28	17	35756249-35795707	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level						Pancreatic cancer:6.28e-6 (unfavourable)	Mixed	Tissue enhanced		testis: 6.5	adipose tissue: 4.2	Cell line enriched	9	HaCaT: 32.1
MMP3	STMY, STMY1	ENSG00000149968	Matrix metallopeptidase 3	11	102835801-102843803	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007875	Uncertain		Supported	Vesicles	Pancreatic cancer:4.09e-4 (unfavourable), Cervical cancer:9.73e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		appendix: 26.5;endometrium: 58.6	urinary bladder: 9.0	Group enriched	15	BJ: 1172.2;BJ hTERT+: 3041.4;fHDF/TERT166: 1276.8
MMP7	MPSL1, PUMP-1	ENSG00000137673	Matrix metallopeptidase 7	11	102520508-102530753	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB025869, HPA051358	Supported		Approved	Nucleoplasm<br>Vesicles	Liver cancer:2.53e-4 (unfavourable), Lung cancer:3.38e-4 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 820.8	breast: 201.7	Cell line enhanced		A549: 133.0;CAPAN-2: 715.3;EFO-21: 178.3;RPTEC TERT1: 262.4
MMP8	CLG1	ENSG00000118113	Matrix metallopeptidase 8	11	102711795-102727050	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA021221, HPA022935	Enhanced					Tissue enriched	Tissue enriched	103	bone marrow: 335.8	endometrium: 3.2	Cell line enriched	10	WM-115: 69.6
MMP9	CLG4B	ENSG00000100985	Matrix metallopeptidase 9	20	46008908-46016561	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB000348, HPA001238, HPA063909, CAB068199, CAB068200, CAB068201	Enhanced		Approved	Cytosol	Renal cancer:4.05e-5 (unfavourable), Endometrial cancer:2.55e-4 (favourable), Liver cancer:7.19e-4 (unfavourable)	Expressed in all	Tissue enhanced		bone marrow: 252.6;lymph node: 117.7	appendix: 82.8	Cell line enriched	8	NB-4: 227.3
MPL	CD110, TPOR	ENSG00000117400	MPL proto-oncogene, thrombopoietin receptor	1	43337849-43352772	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level							Not detected	Mixed			ovary: 1.3	Cell line enriched	97	HEL: 51.8
MR1	HLALS	ENSG00000153029	Major histocompatibility complex, class I-related	1	181033425-181061938	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA048304			Supported	Plasma membrane		Expressed in all	Mixed			thyroid gland: 28.2	Mixed		
